Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,LLOC_NAIX_REGIO,poblacio,total_barri,pct
2015,1,Ciutat Vella,1,el Raval,1,25,47148,5.302451853737169e-4
2015,1,Ciutat Vella,1,el Raval,2,29,47148,6.150844150335115e-4
2015,1,Ciutat Vella,1,el Raval,3,1833,47148,0.038877576991600916
2015,1,Ciutat Vella,1,el Raval,4,11,47148,2.333078815644354e-4
2015,1,Ciutat Vella,1,el Raval,5,185,47148,0.003923814371765504
2015,1,Ciutat Vella,1,el Raval,6,583,47148,0.012365317722915076
2015,1,Ciutat Vella,1,el Raval,7,451,47148,0.009565623144141852
2015,1,Ciutat Vella,1,el Raval,8,3781,47148,0.08019428183592094
2015,1,Ciutat Vella,1,el Raval,9,217,47148,0.004602528209043862
2015,1,Ciutat Vella,1,el Raval,10,11,47148,2.333078815644354e-4
2015,1,Ciutat Vella,1,el Raval,11,321,47148,0.006808348180198524
2015,1,Ciutat Vella,1,el Raval,12,8884,47148,0.188427929074404
2015,1,Ciutat Vella,1,el Raval,13,5473,47148,0.11608127598201408
2015,1,Ciutat Vella,1,el Raval,14,353,47148,0.007487062017476881
2015,1,Ciutat Vella,1,el Raval,15,869,47148,0.018431322643590396
2015,1,Ciutat Vella,1,el Raval,16,751,47148,0.015928565368626454
2015,1,Ciutat Vella,1,el Raval,17,22014,47148,0.46691270043268007
2015,1,Ciutat Vella,1,el Raval,18,1314,47148,0.027869686943242555
2015,1,Ciutat Vella,1,el Raval,19,28,47148,5.938746076185629e-4
2015,1,Ciutat Vella,1,el Raval,23,15,47148,3.181471112242301e-4
2015,1,Ciutat Vella,2,el Barri Gòtic,1,13,15508,8.382770183131287e-4
2015,1,Ciutat Vella,2,el Barri Gòtic,2,15,15508,9.672427134382255e-4
2015,1,Ciutat Vella,2,el Barri Gòtic,3,449,15508,0.028952798555584216
2015,1,Ciutat Vella,2,el Barri Gòtic,4,12,15508,7.737941707505803e-4
2015,1,Ciutat Vella,2,el Barri Gòtic,5,107,15508,0.006899664689192675
2015,1,Ciutat Vella,2,el Barri Gòtic,6,161,15508,0.010381738457570287
2015,1,Ciutat Vella,2,el Barri Gòtic,7,296,15508,0.019086922878514316
2015,1,Ciutat Vella,2,el Barri Gòtic,8,1729,15508,0.11149084343564612
2015,1,Ciutat Vella,2,el Barri Gòtic,9,197,15508,0.012703120969822027
2015,1,Ciutat Vella,2,el Barri Gòtic,10,19,15508,0.0012251741036884188
2015,1,Ciutat Vella,2,el Barri Gòtic,11,200,15508,0.012896569512509672
2015,1,Ciutat Vella,2,el Barri Gòtic,12,927,15508,0.05977559969048233
2015,1,Ciutat Vella,2,el Barri Gòtic,13,329,15508,0.02121485684807841
2015,1,Ciutat Vella,2,el Barri Gòtic,14,138,15508,0.008898632963631675
2015,1,Ciutat Vella,2,el Barri Gòtic,15,404,15508,0.026051070415269537
2015,1,Ciutat Vella,2,el Barri Gòtic,16,588,15508,0.037915914366778436
2015,1,Ciutat Vella,2,el Barri Gòtic,17,8894,15508,0.5735104462213051
2015,1,Ciutat Vella,2,el Barri Gòtic,18,995,15508,0.06416043332473562
2015,1,Ciutat Vella,2,el Barri Gòtic,19,35,15508,0.0022568996646891927
2015,1,Ciutat Vella,2,el Barri Gòtic,23,0,15508,0
2015,1,Ciutat Vella,3,la Barceloneta,1,5,15026,3.327565553041395e-4
2015,1,Ciutat Vella,3,la Barceloneta,2,0,15026,0
2015,1,Ciutat Vella,3,la Barceloneta,3,526,15026,0.035005989617995475
2015,1,Ciutat Vella,3,la Barceloneta,4,0,15026,0
2015,1,Ciutat Vella,3,la Barceloneta,5,43,15026,0.0028617063756155997
2015,1,Ciutat Vella,3,la Barceloneta,6,155,15026,0.010315453214428325
2015,1,Ciutat Vella,3,la Barceloneta,7,151,15026,0.010049247970185013
2015,1,Ciutat Vella,3,la Barceloneta,8,1473,15026,0.0980300811925995
2015,1,Ciutat Vella,3,la Barceloneta,9,101,15026,0.006721682417143618
2015,1,Ciutat Vella,3,la Barceloneta,10,12,15026,7.986157327299348e-4
2015,1,Ciutat Vella,3,la Barceloneta,11,78,15026,0.005191002262744576
2015,1,Ciutat Vella,3,la Barceloneta,12,580,15026,0.03859976041528018
2015,1,Ciutat Vella,3,la Barceloneta,13,36,15026,0.0023958471981898044
2015,1,Ciutat Vella,3,la Barceloneta,14,83,15026,0.005523758818048716
2015,1,Ciutat Vella,3,la Barceloneta,15,500,15026,0.03327565553041395
2015,1,Ciutat Vella,3,la Barceloneta,16,407,15026,0.027086383601756955
2015,1,Ciutat Vella,3,la Barceloneta,17,10281,15026,0.6842140290163716
2015,1,Ciutat Vella,3,la Barceloneta,18,576,15026,0.03833355517103687
2015,1,Ciutat Vella,3,la Barceloneta,19,19,15026,0.00126447491015573
2015,1,Ciutat Vella,3,la Barceloneta,23,0,15026,0
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1,17,22456,7.570359814748842e-4
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",2,7,22456,3.117206982543641e-4
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",3,948,22456,0.04221588884930531
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",4,10,22456,4.453152832205201e-4
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",5,185,22456,0.008238332739579622
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",6,448,22456,0.0199501246882793
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",7,368,22456,0.016387602422515142
