Any,Nom_Districte,Nom_Barri,n_llicencies
2024,GRACIA,el Camp d'en Grassot i Gràcia Nova,225
2024,GRACIA,el Coll,20
2024,GRACIA,la Salut,37
2024,GRACIA,la Vila de Gràcia,799
2024,HORTA-GUINARDÓ,Can Baró,25
2024,HORTA-GUINARDÓ,Horta,6
2024,HORTA-GUINARDÓ,Sant Genís dels Agudells,4
2024,HORTA-GUINARDÓ,el Baix Guinardó,88
2024,HORTA-GUINARDÓ,el Carmel,34
2024,HORTA-GUINARDÓ,el Guinardó,74
2024,HORTA-GUINARDÓ,la Font d'en Fargues,4
2024,HORTA-GUINARDÓ,la Teixonera,5
2024,HORTA-GUINARDÓ,la Vall d'Hebron,1
2024,L'EIXAMPLE,Sant Antoni,607
2024,L'EIXAMPLE,el Fort Pienc,374
2024,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,719
2024,L'EIXAMPLE,la Dreta de l'Eixample,1745
2024,L'EIXAMPLE,la Nova Esquerra de l'Eixample,509
2024,L'EIXAMPLE,la Sagrada Família,818
2024,LES CORTS,Pedralbes,11
2024,LES CORTS,la Maternitat i Sant Ramon,48
2024,LES CORTS,les Corts,202
2024,NOU BARRIS,Canyelles,2
2024,NOU BARRIS,Porta,12
2024,NOU BARRIS,Verdun,3
2024,NOU BARRIS,Vilapicina i la Torre Llobeta,17
2024,NOU BARRIS,el Turó de la Peira,1
2024,NOU BARRIS,la Guineueta,1
2024,NOU BARRIS,la Prosperitat,3
2024,NOU BARRIS,les Roquetes,2
2024,SANT ANDREU,Navas,25
2024,SANT ANDREU,Sant Andreu,34
2024,SANT ANDREU,el Bon Pastor,2
2024,SANT ANDREU,el Congrés i els Indians,6
2024,SANT ANDREU,la Sagrera,23
2024,SANT ANDREU,la Trinitat Vella,5
2024,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,129
2024,SANT MARTI,Provençals del Poblenou,35
2024,SANT MARTI,Sant Martí de Provençals,14
2024,SANT MARTI,el Besòs i el Maresme,32
2024,SANT MARTI,el Camp de l'Arpa del Clot,295
2024,SANT MARTI,el Clot,52
2024,SANT MARTI,el Parc i la Llacuna del Poblenou,102
2024,SANT MARTI,el Poblenou,455
2024,SANT MARTI,la Verneda i la Pau,9
2024,SANT MARTI,la Vila Olímpica del Poblenou,106
2024,SANTS-MONTJUÏC,Hostafrancs,176
2024,SANTS-MONTJUÏC,Sants,245
2024,SANTS-MONTJUÏC,Sants - Badal,99
2024,SANTS-MONTJUÏC,el Poble-sec,538
2024,SANTS-MONTJUÏC,la Bordeta,35
2024,SANTS-MONTJUÏC,la Font de la Guatlla,132
2024,SANTS-MONTJUÏC,la Marina de Port,6
2024,SANTS-MONTJUÏC,la Marina del Prat Vermell,3
2024,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,297
2024,SARRIA-SANT GERVASI,Sant Gervasi - la Bonanova,72
2024,SARRIA-SANT GERVASI,Sarrià,33
2024,SARRIA-SANT GERVASI,"Vallvidrera, el Tibidabo i les Planes",3
2024,SARRIA-SANT GERVASI,el Putxet i el Farró,202
2024,SARRIA-SANT GERVASI,les Tres Torres,36
2025,CIUTAT VELLA,"Sant Pere, Santa Caterina i la Ribera",237
2025,CIUTAT VELLA,el Barri Gòtic,236
2025,CIUTAT VELLA,el Raval,248
2025,CIUTAT VELLA,la Barceloneta,118
2025,GRACIA,Vallcarca i els Penitents,39
2025,GRACIA,el Camp d'en Grassot i Gràcia Nova,228
2025,GRACIA,el Coll,20
2025,GRACIA,la Salut,37
2025,GRACIA,la Vila de Gràcia,803
2025,HORTA-GUINARDÓ,Can Baró,25
2025,HORTA-GUINARDÓ,Horta,6
2025,HORTA-GUINARDÓ,Sant Genís dels Agudells,3
2025,HORTA-GUINARDÓ,el Baix Guinardó,102
2025,HORTA-GUINARDÓ,el Carmel,35
2025,HORTA-GUINARDÓ,el Guinardó,72
2025,HORTA-GUINARDÓ,la Font d'en Fargues,4
2025,HORTA-GUINARDÓ,la Teixonera,5
2025,HORTA-GUINARDÓ,la Vall d'Hebron,1
2025,L'EIXAMPLE,Sant Antoni,667
2025,L'EIXAMPLE,el Fort Pienc,380
2025,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,725
2025,L'EIXAMPLE,la Dreta de l'Eixample,1802
2025,L'EIXAMPLE,la Nova Esquerra de l'Eixample,511
2025,L'EIXAMPLE,la Sagrada Família,822
2025,LES CORTS,Pedralbes,11
2025,LES CORTS,la Maternitat i Sant Ramon,47
2025,LES CORTS,les Corts,208
2025,NOU BARRIS,Canyelles,2
2025,NOU BARRIS,Porta,12
2025,NOU BARRIS,Verdun,3
2025,NOU BARRIS,Vilapicina i la Torre Llobeta,17
2025,NOU BARRIS,el Turó de la Peira,1
2025,NOU BARRIS,la Guineueta,1
2025,NOU BARRIS,la Prosperitat,3
2025,NOU BARRIS,les Roquetes,2
2025,SANT ANDREU,Navas,25
2025,SANT ANDREU,Sant Andreu,32
2025,SANT ANDREU,el Bon Pastor,2
2025,SANT ANDREU,el Congrés i els Indians,6
2025,SANT ANDREU,la Sagrera,23
2025,SANT ANDREU,la Trinitat Vella,5
2025,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,129
2025,SANT MARTI,Provençals del Poblenou,36
2025,SANT MARTI,Sant Martí de Provençals,14
2025,SANT MARTI,el Besòs i el Maresme,32
2025,SANT MARTI,el Camp de l'Arpa del Clot,295
2025,SANT MARTI,el Clot,52
2025,SANT MARTI,el Parc i la Llacuna del Poblenou,103
2025,SANT MARTI,el Poblenou,457
2025,SANT MARTI,la Verneda i la Pau,9
2025,SANT MARTI,la Vila Olímpica del Poblenou,106
2025,SANTS-MONTJUÏC,Hostafrancs,176
2025,SANTS-MONTJUÏC,Sants,247
2025,SANTS-MONTJUÏC,Sants - Badal,110
2025,SANTS-MONTJUÏC,el Poble-sec,571
2025,SANTS-MONTJUÏC,la Bordeta,42
2025,SANTS-MONTJUÏC,la Font de la Guatlla,141
2025,SANTS-MONTJUÏC,la Marina de Port,8
2025,SANTS-MONTJUÏC,la Marina del Prat Vermell,3
2025,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,310
2025,SARRIA-SANT GERVASI,Sant Gervasi - la Bonanova,75
2025,SARRIA-SANT GERVASI,Sarrià,33
2025,SARRIA-SANT GERVASI,"Vallvidrera, el Tibidabo i les Planes",3
2025,SARRIA-SANT GERVASI,el Putxet i el Farró,202
2025,SARRIA-SANT GERVASI,les Tres Torres,36
