Any,Codi_barri,Nom_barri,total_habitatges
2024,5,el Fort Pienc,15605
2024,6,la Sagrada Família,27347
2024,7,la Dreta de l'Eixample,27121
2024,8,l'Antiga Esquerra de l'Eixample,24391
2024,9,la Nova Esquerra de l'Eixample,30322
2024,10,Sant Antoni,20159
2024,11,el Poble-sec,19210
2024,12,la Marina del Prat Vermell,1222
2024,13,la Marina de Port,13375
2024,14,la Font de la Guatlla,5120
2024,15,Hostafrancs,8247
2024,16,la Bordeta,9503
2024,17,Sants - Badal,12000
2024,18,Sants,21444
2024,19,les Corts,23357
2024,20,la Maternitat i Sant Ramon,11815
2024,21,Pedralbes,6129
2024,22,"Vallvidrera, el Tibidabo i les Planes",3072
2024,23,Sarrià,12911
2024,24,les Tres Torres,7079
2024,25,Sant Gervasi - la Bonanova,12832
2024,26,Sant Gervasi - Galvany,25704
2024,27,el Putxet i el Farró,16590
2024,28,Vallcarca i els Penitents,9181
2024,29,el Coll,4028
2024,30,la Salut,6999
2024,31,la Vila de Gràcia,31797
2024,32,el Camp d'en Grassot i Gràcia Nova,18739
2024,33,el Baix Guinardó,12626
2024,34,Can Baró,4913
2024,35,el Guinardó,19211
2024,36,la Font d'en Fargues,5353
2024,37,el Carmel,15565
2024,38,la Teixonera,6048
2024,39,Sant Genís dels Agudells,3479
2024,40,Montbau,2563
2024,41,la Vall d'Hebron,2657
2024,42,la Clota,522
2024,43,Horta,13609
2024,44,Vilapicina i la Torre Llobeta,12368
2024,45,Porta,11558
2024,46,el Turó de la Peira,7068
2024,47,Can Peguera,1047
2024,48,la Guineueta,6801
2024,49,Canyelles,2922
2024,50,les Roquetes,7139
2024,51,Verdun,5958
2024,52,la Prosperitat,12237
2024,53,la Trinitat Nova,3471
2024,54,Torre Baró,1737
2024,55,Ciutat Meridiana,3959
2024,56,Vallbona,842
2024,57,la Trinitat Vella,4372
2024,58,Baró de Viver,1112
2024,59,el Bon Pastor,5463
2024,60,Sant Andreu,29613
2024,61,la Sagrera,13811
2024,62,el Congrés i els Indians,7117
2024,63,Navas,10445
2024,64,el Camp de l'Arpa del Clot,20187
2024,65,el Clot,12618
2024,66,el Parc i la Llacuna del Poblenou,7864
2024,67,la Vila Olímpica del Poblenou,4723
2024,68,el Poblenou,17184
2024,69,Diagonal Mar i el Front Marítim del Poblenou,6340
2024,70,el Besòs i el Maresme,10060
2024,71,Provençals del Poblenou,9410
2024,72,Sant Martí de Provençals,11820
2024,73,la Verneda i la Pau,13610
2025,1,el Raval,23558
2025,2,el Barri Gòtic,10475
2025,3,la Barceloneta,9255
2025,4,"Sant Pere, Santa Caterina i la Ribera",14643
2025,5,el Fort Pienc,15687
2025,6,la Sagrada Família,27445
2025,7,la Dreta de l'Eixample,27246
2025,8,l'Antiga Esquerra de l'Eixample,24446
2025,9,la Nova Esquerra de l'Eixample,30410
2025,10,Sant Antoni,20198
2025,11,el Poble-sec,19228
2025,12,la Marina del Prat Vermell,1654
2025,13,la Marina de Port,13395
2025,14,la Font de la Guatlla,5124
2025,15,Hostafrancs,8268
2025,16,la Bordeta,9586
2025,17,Sants - Badal,12006
2025,18,Sants,21474
2025,19,les Corts,23380
2025,20,la Maternitat i Sant Ramon,11841
2025,21,Pedralbes,6135
2025,22,"Vallvidrera, el Tibidabo i les Planes",3082
2025,23,Sarrià,12915
2025,24,les Tres Torres,7084
2025,25,Sant Gervasi - la Bonanova,12946
2025,26,Sant Gervasi - Galvany,25805
2025,27,el Putxet i el Farró,16619
2025,28,Vallcarca i els Penitents,9187
2025,29,el Coll,4025
2025,30,la Salut,7050
2025,31,la Vila de Gràcia,31832
2025,32,el Camp d'en Grassot i Gràcia Nova,18769
2025,33,el Baix Guinardó,12625
2025,34,Can Baró,4921
2025,35,el Guinardó,19282
2025,36,la Font d'en Fargues,5367
2025,37,el Carmel,15579
2025,38,la Teixonera,6061
2025,39,Sant Genís dels Agudells,3487
2025,40,Montbau,2563
2025,41,la Vall d'Hebron,2657
2025,42,la Clota,625
2025,43,Horta,13692
2025,44,Vilapicina i la Torre Llobeta,12368
2025,45,Porta,11581
2025,46,el Turó de la Peira,7069
2025,47,Can Peguera,1047
2025,48,la Guineueta,6801
2025,49,Canyelles,2922
2025,50,les Roquetes,7149
2025,51,Verdun,5964
2025,52,la Prosperitat,12248
2025,53,la Trinitat Nova,3471
2025,54,Torre Baró,1732
2025,55,Ciutat Meridiana,3959
2025,56,Vallbona,842
2025,57,la Trinitat Vella,4371
2025,58,Baró de Viver,1112
2025,59,el Bon Pastor,5461
2025,60,Sant Andreu,29646
2025,61,la Sagrera,14037
2025,62,el Congrés i els Indians,7141
2025,63,Navas,10474
2025,64,el Camp de l'Arpa del Clot,20205
2025,65,el Clot,12620
2025,66,el Parc i la Llacuna del Poblenou,7910
2025,67,la Vila Olímpica del Poblenou,4725
2025,68,el Poblenou,17367
2025,69,Diagonal Mar i el Front Marítim del Poblenou,6429
2025,70,el Besòs i el Maresme,10145
2025,71,Provençals del Poblenou,9467
2025,72,Sant Martí de Provençals,11828
2025,73,la Verneda i la Pau,13767
