Any,Codi_Barri,Nom_Barri,Codi_Districte,Nom_Districte,total_locals,n_buits,n_comerc,n_serveis,n_reforma,pct_buits,pct_comerc,pct_serveis
2019,13,la Marina de Port,3,Sants-Montjuïc,731,25,200,284,5,3.4199726402188784,27.359781121751027,38.850889192886456
2019,14,la Font de la Guatlla,3,Sants-Montjuïc,325,15,52,114,4,4.615384615384616,16,35.07692307692308
2019,15,Hostafrancs,3,Sants-Montjuïc,1031,42,315,424,11,4.073714839961203,30.552861299709022,41.1251212415131
2019,16,la Bordeta,3,Sants-Montjuïc,665,32,114,261,4,4.8120300751879705,17.142857142857142,39.24812030075188
2019,17,Sants - Badal,3,Sants-Montjuïc,1074,52,239,392,12,4.8417132216014895,22.253258845437614,36.49906890130354
2019,18,Sants,3,Sants-Montjuïc,2311,64,580,868,40,2.769363911726525,25.097360450021633,37.559498052791
2019,19,les Corts,4,Les Corts,2428,61,631,1127,41,2.5123558484349258,25.98846787479407,46.4168039538715
2019,20,la Maternitat i Sant Ramon,4,Les Corts,920,43,167,467,8,4.673913043478261,18.15217391304348,50.76086956521739
2019,21,Pedralbes,4,Les Corts,291,5,60,166,4,1.718213058419244,20.618556701030926,57.0446735395189
2019,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,81,2,16,43,0,2.4691358024691357,19.753086419753085,53.086419753086425
2019,23,Sarrià,5,Sarrià-Sant Gervasi,1184,25,323,586,20,2.1114864864864864,27.280405405405407,49.49324324324324
2019,24,les Tres Torres,5,Sarrià-Sant Gervasi,540,11,109,321,5,2.037037037037037,20.185185185185187,59.44444444444444
2019,25,Sant Gervasi - la Bonanova,5,Sarrià-Sant Gervasi,1298,48,339,648,16,3.697996918335902,26.1171032357473,49.922958397534664
2019,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,3200,138,1111,1448,59,4.3125,34.71875,45.25
2019,27,el Putxet i el Farró,5,Sarrià-Sant Gervasi,1415,55,294,620,24,3.8869257950530036,20.7773851590106,43.81625441696113
2019,28,Vallcarca i els Penitents,6,Gràcia,542,9,117,213,5,1.6605166051660518,21.58671586715867,39.29889298892989
2019,29,el Coll,6,Gràcia,209,7,30,39,2,3.349282296650718,14.354066985645932,18.660287081339714
2019,30,la Salut,6,Gràcia,547,19,155,178,5,3.473491773308958,28.336380255941503,32.541133455210236
2019,31,la Vila de Gràcia,6,Gràcia,4457,250,1225,1736,53,5.609154139555755,27.4848552838232,38.94996634507517
2019,32,el Camp d'en Grassot i Gràcia Nova,6,Gràcia,1729,80,556,652,30,4.626951995373048,32.15731636784268,37.709658762290346
2019,33,el Baix Guinardó,7,Horta-Guinardó,956,36,187,393,13,3.765690376569038,19.560669456066947,41.10878661087866
2019,34,Can Baró,7,Horta-Guinardó,309,12,43,77,0,3.8834951456310676,13.915857605177994,24.919093851132686
2019,35,el Guinardó,7,Horta-Guinardó,1782,61,308,593,23,3.423120089786756,17.28395061728395,33.27721661054994
2019,36,la Font d'en Fargues,7,Horta-Guinardó,175,5,18,90,1,2.857142857142857,10.285714285714285,51.42857142857142
2019,37,el Carmel,7,Horta-Guinardó,1259,57,292,329,2,4.527402700555997,23.193010325655283,26.131850675139003
2019,38,la Teixonera,7,Horta-Guinardó,390,22,80,85,0,5.641025641025641,20.51282051282051,21.794871794871796
2019,39,Sant Genís dels Agudells,7,Horta-Guinardó,136,3,28,56,0,2.2058823529411766,20.588235294117645,41.17647058823529
2019,40,Montbau,7,Horta-Guinardó,159,5,20,61,0,3.1446540880503147,12.578616352201259,38.36477987421384
2019,41,la Vall d'Hebron,7,Horta-Guinardó,136,3,17,67,1,2.2058823529411766,12.5,49.26470588235294
2019,42,la Clota,7,Horta-Guinardó,20,0,1,3,1,0,5,15
2019,43,Horta,7,Horta-Guinardó,1192,28,352,403,4,2.348993288590604,29.53020134228188,33.808724832214764
2019,44,Vilapicina i la Torre Llobeta,8,Nou Barris,1328,62,275,507,9,4.66867469879518,20.707831325301203,38.17771084337349
2019,45,Porta,8,Nou Barris,1164,49,265,409,10,4.209621993127148,22.766323024054984,35.13745704467354
