Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,total_habitatges,n_fisica,n_juridica,n_public,n_comunitat,n_altres,n_no_consta,pct_fisica,pct_juridica,pct_public,pct_comunitat,pct_altres,pct_no_consta
2018,8,Nou Barris,54,Torre Baró,1701,1122,249,270,0,4,56,0.6596119929453262,0.14638447971781304,0.15873015873015872,0,0.0023515579071134627,0.03292181069958848
2018,8,Nou Barris,55,Ciutat Meridiana,3957,3337,468,39,0,43,70,0.8433156431640132,0.11827141774071266,0.009855951478392721,0,0.010866818296689411,0.017690169320192066
2018,8,Nou Barris,56,Vallbona,845,584,35,214,0,0,12,0.6911242603550296,0.04142011834319527,0.2532544378698225,0,0,0.014201183431952662
2018,9,Sant Andreu,57,la Trinitat Vella,4194,3574,433,91,0,26,70,0.8521697663328565,0.10324272770624703,0.021697663328564615,0,0.00619933237958989,0.016690510252742013
2018,9,Sant Andreu,58,Baró de Viver,1112,843,21,238,0,1,9,0.7580935251798561,0.018884892086330936,0.21402877697841727,0,8.992805755395684e-4,0.008093525179856115
2018,9,Sant Andreu,59,el Bon Pastor,5333,4334,309,637,0,7,46,0.8126757922370148,0.05794112132008251,0.1194449653103319,0,0.0013125820363772737,0.008625539096193511
2018,9,Sant Andreu,60,Sant Andreu,29096,26120,1650,975,0,34,317,0.8977178993676107,0.056708825955457794,0.03350976079186142,0,0.001168545504536706,0.010894968380533407
2018,9,Sant Andreu,61,la Sagrera,13488,10900,2347,58,0,8,175,0.8081257413997628,0.17400652431791222,0.00430011862396204,0,5.931198102016608e-4,0.012974495848161328
2018,9,Sant Andreu,62,el Congrés i els Indians,7031,6366,557,0,0,11,97,0.9054188593372209,0.07922059451002703,0,0,0.0015645000711136396,0.013796046081638457
2018,9,Sant Andreu,63,Navas,10275,9231,707,159,0,6,172,0.8983941605839416,0.06880778588807786,0.015474452554744526,0,5.839416058394161e-4,0.016739659367396593
2018,10,Sant Martí,64,el Camp de l'Arpa del Clot,19870,17281,2041,56,0,33,459,0.8697030699547056,0.1027176648213387,0.002818319073980876,0,0.0016607951685958732,0.023100150981378964
2018,10,Sant Martí,65,el Clot,12414,10779,1292,91,0,21,231,0.8682938617689705,0.10407604317705817,0.007330433381665861,0,0.0016916384726921219,0.01860802319961334
2018,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,7083,6155,682,130,0,24,92,0.8689820697444586,0.096286884088663,0.01835380488493576,0,0.0033883947479881405,0.012988846533954539
2018,10,Sant Martí,67,la Vila Olímpica del Poblenou,4653,4096,456,71,0,1,29,0.8802922845476037,0.09800128949065119,0.015258972705781216,0,2.149151085321298e-4,0.006232538147431765
2018,10,Sant Martí,68,el Poblenou,16436,14154,1726,235,0,61,260,0.8611584327086882,0.10501338525188611,0.014297882696519834,0,0.0037113652956923824,0.015818934047213434
2018,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,6298,5273,793,183,0,3,46,0.8372499206097174,0.12591298825023817,0.029056843442362656,0,4.76341695776437e-4,0.007303906001905367
2018,10,Sant Martí,70,el Besòs i el Maresme,9645,8607,630,245,0,45,118,0.8923794712286158,0.06531881804043546,0.025401762571280455,0,0.004665629860031105,0.012234318299637118
2018,10,Sant Martí,71,Provençals del Poblenou,9194,8109,685,281,0,3,116,0.8819882532086143,0.07450511202958451,0.030563410920165325,0,3.262997607135088e-4,0.01261692408092234
2018,10,Sant Martí,72,Sant Martí de Provençals,11692,11040,483,14,0,5,150,0.9442353746151214,0.04131029763941156,0.0011973999315771468,0,4.2764283270612383e-4,0.012829284981183716
