Any,Nom_Districte,Nom_Barri,n_llicencies,total_habitatges,pct_hut
2023,HORTA-GUINARDÓ,el Guinardó,74,19071,0.3880237009071365
2023,HORTA-GUINARDÓ,la Font d'en Fargues,4,5368,0.07451564828614009
2023,HORTA-GUINARDÓ,la Teixonera,5,6034,0.08286377195889957
2023,HORTA-GUINARDÓ,la Vall d'Hebron,1,2657,0.03763643206624012
2023,L'EIXAMPLE,Sant Antoni,566,20147,2.8093512681788853
2023,L'EIXAMPLE,el Fort Pienc,347,15567,2.2290743238902806
2023,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,678,24359,2.78336549119422
2023,L'EIXAMPLE,la Dreta de l'Eixample,1660,27040,6.1390532544378695
2023,L'EIXAMPLE,la Nova Esquerra de l'Eixample,487,30293,1.6076321262337834
2023,L'EIXAMPLE,la Sagrada Família,750,27282,2.7490653177919504
2023,LES CORTS,Pedralbes,11,6119,0.17976793593724463
2023,LES CORTS,la Maternitat i Sant Ramon,48,11805,0.40660736975857686
2023,LES CORTS,les Corts,210,23343,0.8996272972625627
2023,NOU BARRIS,Canyelles,1,2920,0.03424657534246575
2023,NOU BARRIS,Porta,12,11524,0.10413051023950018
2023,NOU BARRIS,Verdun,3,5943,0.05047955577990913
2023,NOU BARRIS,Vilapicina i la Torre Llobeta,17,12344,0.1377187297472456
2023,NOU BARRIS,el Turó de la Peira,1,7066,0.01415227851684121
2023,NOU BARRIS,la Guineueta,1,6801,0.014703720041170416
2023,NOU BARRIS,la Prosperitat,3,12218,0.024553936814535934
2023,NOU BARRIS,les Roquetes,2,7138,0.02801905295601009
2023,SANT ANDREU,Navas,22,10401,0.21151812325737906
2023,SANT ANDREU,Sant Andreu,33,29527,0.11176211602939683
2023,SANT ANDREU,el Bon Pastor,2,5408,0.03698224852071006
2023,SANT ANDREU,el Congrés i els Indians,6,7109,0.08440005626670417
2023,SANT ANDREU,la Sagrera,22,13770,0.15976761074800291
2023,SANT ANDREU,la Trinitat Vella,5,4197,0.11913271384322134
2023,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,126,6330,1.9905213270142181
2023,SANT MARTI,Provençals del Poblenou,33,9394,0.351288056206089
2023,SANT MARTI,Sant Martí de Provençals,14,11816,0.11848341232227488
2023,SANT MARTI,el Besòs i el Maresme,32,10057,0.31818633787411754
2023,SANT MARTI,el Camp de l'Arpa del Clot,292,20182,1.4468338123079971
2023,SANT MARTI,el Clot,53,12584,0.42116973935155755
2023,SANT MARTI,el Parc i la Llacuna del Poblenou,102,7787,1.3098754334146656
2023,SANT MARTI,el Poblenou,433,17118,2.5295011099427502
2023,SANT MARTI,la Verneda i la Pau,9,13614,0.06610841780520052
2023,SANT MARTI,la Vila Olímpica del Poblenou,106,4723,2.2443362269743807
2023,SANTS-MONTJUÏC,Hostafrancs,177,8232,2.1501457725947524
2023,SANTS-MONTJUÏC,Sants,238,21403,1.1119936457505957
2023,SANTS-MONTJUÏC,Sants - Badal,97,11945,0.8120552532440352
2023,SANTS-MONTJUÏC,el Poble-sec,513,19189,2.673406639220387
2023,SANTS-MONTJUÏC,la Bordeta,30,9448,0.31752751905165116
2023,SANTS-MONTJUÏC,la Font de la Guatlla,131,5123,2.557095451883662
2023,SANTS-MONTJUÏC,la Marina de Port,6,13369,0.044879946144064625
2023,SANTS-MONTJUÏC,la Marina del Prat Vermell,3,901,0.3329633740288568
2023,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,293,25648,1.1423892701185279
2023,SARRIA-SANT GERVASI,Sant Gervasi - la Bonanova,68,12793,0.5315406863128274
2023,SARRIA-SANT GERVASI,Sarrià,31,12868,0.24090767796083307
2023,SARRIA-SANT GERVASI,"Vallvidrera, el Tibidabo i les Planes",3,3083,0.09730781706130393
2023,SARRIA-SANT GERVASI,el Putxet i el Farró,200,16572,1.2068549360366883
2023,SARRIA-SANT GERVASI,les Tres Torres,34,7067,0.48110938163294187
2024,CIUTAT VELLA,"Sant Pere, Santa Caterina i la Ribera",200,14614,1.368550704803613
2024,CIUTAT VELLA,el Barri Gòtic,218,10521,2.072046383423629
2024,CIUTAT VELLA,el Raval,240,23543,1.0194112899800367
2024,CIUTAT VELLA,la Barceloneta,118,9245,1.276365603028664
2024,GRACIA,Vallcarca i els Penitents,39,9181,0.4247903278509966
2024,GRACIA,el Camp d'en Grassot i Gràcia Nova,225,18739,1.2007044132557767
2024,GRACIA,el Coll,20,4028,0.49652432969215493
2024,GRACIA,la Salut,37,6999,0.5286469495642235
2024,GRACIA,la Vila de Gràcia,799,31797,2.512815674434695
2024,HORTA-GUINARDÓ,Can Baró,25,4913,0.5088540606554041
2024,HORTA-GUINARDÓ,Horta,6,13609,0.044088470864868834
2024,HORTA-GUINARDÓ,Sant Genís dels Agudells,4,3479,0.11497556769186547
2024,HORTA-GUINARDÓ,el Baix Guinardó,88,12626,0.6969744970695391
2024,HORTA-GUINARDÓ,el Carmel,34,15565,0.2184388050112432
2024,HORTA-GUINARDÓ,el Guinardó,74,19211,0.38519598146895007
2024,HORTA-GUINARDÓ,la Font d'en Fargues,4,5353,0.07472445357743321
2024,HORTA-GUINARDÓ,la Teixonera,5,6048,0.08267195767195767
2024,HORTA-GUINARDÓ,la Vall d'Hebron,1,2657,0.03763643206624012
2024,L'EIXAMPLE,Sant Antoni,607,20159,3.0110620566496356
2024,L'EIXAMPLE,el Fort Pienc,374,15605,2.3966677347004164
2024,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,719,24391,2.947808617932844
2024,L'EIXAMPLE,la Dreta de l'Eixample,1745,27121,6.434128535083515
2024,L'EIXAMPLE,la Nova Esquerra de l'Eixample,509,30322,1.6786491656223206
2024,L'EIXAMPLE,la Sagrada Família,818,27347,2.991187333162687
2024,LES CORTS,Pedralbes,11,6129,0.17947462881383588
2024,LES CORTS,la Maternitat i Sant Ramon,48,11815,0.40626322471434617
2024,LES CORTS,les Corts,202,23357,0.8648370938048551
2024,NOU BARRIS,Canyelles,2,2922,0.06844626967830253
2024,NOU BARRIS,Porta,12,11558,0.1038241910365115
2024,NOU BARRIS,Verdun,3,5958,0.050352467270896276
2024,NOU BARRIS,Vilapicina i la Torre Llobeta,17,12368,0.13745148771021992
2024,NOU BARRIS,el Turó de la Peira,1,7068,0.014148273910582909
2024,NOU BARRIS,la Guineueta,1,6801,0.014703720041170416
2024,NOU BARRIS,la Prosperitat,3,12237,0.024515812699190977
2024,NOU BARRIS,les Roquetes,2,7139,0.02801512816921137
2024,SANT ANDREU,Navas,25,10445,0.23934897079942558
2024,SANT ANDREU,Sant Andreu,34,29613,0.11481443960422787
2024,SANT ANDREU,el Bon Pastor,2,5463,0.03660992128866923
2024,SANT ANDREU,el Congrés i els Indians,6,7117,0.08430518476886328
2024,SANT ANDREU,la Sagrera,23,13811,0.1665339222358989
2024,SANT ANDREU,la Trinitat Vella,5,4372,0.11436413540713633
2024,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,129,6340,2.0347003154574135
2024,SANT MARTI,Provençals del Poblenou,35,9410,0.37194473963868224
2024,SANT MARTI,Sant Martí de Provençals,14,11820,0.11844331641285956
2024,SANT MARTI,el Besòs i el Maresme,32,10060,0.31809145129224653
2024,SANT MARTI,el Camp de l'Arpa del Clot,295,20187,1.461336503690494
2024,SANT MARTI,el Clot,52,12618,0.41210968457758757
2024,SANT MARTI,el Parc i la Llacuna del Poblenou,102,7864,1.2970498474059002
2024,SANT MARTI,el Poblenou,455,17184,2.647811918063315
2024,SANT MARTI,la Verneda i la Pau,9,13610,0.06612784717119766
2024,SANT MARTI,la Vila Olímpica del Poblenou,106,4723,2.2443362269743807
2024,SANTS-MONTJUÏC,Hostafrancs,176,8247,2.1341093731053715
2024,SANTS-MONTJUÏC,Sants,245,21444,1.1425107256108935
2024,SANTS-MONTJUÏC,Sants - Badal,99,12000,0.8250000000000001
2024,SANTS-MONTJUÏC,el Poble-sec,538,19210,2.8006246746486205
